,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
159,159,459,C,Where would a person live that isn't in the metro area but still has good schools?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['woods', 'bed', 'suburbs', 'rural', 'neighborhood'], dtype=object)}",woods,bed,suburbs,rural,,"Question: Where would a person live that isn't in the metro area but still has good schools? (A) woods (B) bed (C) suburbs (D) rural. 
The correct response is: "," (D) rural 
The person living in the rural area would have good schools if:  (A) woods (B) bed (C) suburbs (D) rural 
The correct response is:  (D) rural"
160,160,745,B,Where do you keep your pizza slice before you eat it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'plate', 'restaurant', 'oven', 'popular'], dtype=object)}",table,plate,restaurant,oven,,"Question: Where do you keep your pizza slice before you eat it? (A) table (B) plate (C) restaurant (D) oven. 
The correct response is: "," (B) plate  
The correct response is: (B) plate 
The correct response is: (B) plate 
The correct response is: (B) plate 
The correct response is: (B) plate 
The correct response is: (B"
161,161,1045,C,What do parents tell a child to do on the weekend?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'begin school', 'go out to play', 'row boat',
       'clean room'], dtype=object)}",study,begin school,go out to play,row boat,,"Question: What do parents tell a child to do on the weekend? (A) study (B) begin school (C) go out to play (D) row boat. 
The correct response is: "," (C) go out to play  
The child is unlikely to be told to do the following: (A) study 
The child is unlikely to be told to do the following: (D) row boat 
The child might be told to do"
162,162,1196,D,John felt a snake slither over him as he rested.  He was afraid to raise his covers for fear of startling it.  Where might he be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pet shops', 'oklahoma', 'basement', 'bedroom', 'dreams'],
      dtype=object)}",pet shops,oklahoma,basement,bedroom,,"Question: John felt a snake slither over him as he rested.  He was afraid to raise his covers for fear of startling it.  Where might he be? (A) pet shops (B) oklahoma (C) basement (D) bedroom. 
The correct response is: "," (B) oklahoma  
The snake John felt was likely a rattlesnake, which is found in the southwestern United States, including"
163,163,997,C,"Joe's cat smelled something delicious and jumped into this, causing him to panic and fear for its life. Where might it have jumped?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['meat loaf', 'bedroom', 'microwave', 'living room', 'floor'],
      dtype=object)}",meat loaf,bedroom,microwave,living room,,"Question: Joe's cat smelled something delicious and jumped into this, causing him to panic and fear for its life. Where might it have jumped? (A) meat loaf (B) bedroom (C) microwave (D) living room. 
The correct response is: "," (A) meat loaf  
The correct response is:  (A) meat loaf 
The correct response is:  (A) meat"
164,164,448,D,Where would a cat snuggle up with their human?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['floor', 'humane society', 'bed', 'comfortable chair',
       'window sill'], dtype=object)}",floor,humane society,bed,comfortable chair,,"Question: Where would a cat snuggle up with their human? (A) floor (B) humane society (C) bed (D) comfortable chair. 
The correct response is: ","2) bed 
The bed is a human invention, so a cat would never naturally sleep there in the wild. Instead, they would sleep in a hole or a pile of leaves or sticks. 
The correct response is: 2) bed 
The"
165,165,1095,C,"She wanted to get in shape, but she couldn't stay focused on the hour long what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sweating', 'excercise', 'work out', 'video', 'swim'], dtype=object)}",sweating,excercise,work out,video,,"Question: She wanted to get in shape, but she couldn't stay focused on the hour long what? (A) sweating (B) excercise (C) work out (D) video. 
The correct response is: "," (D) video 
The correct response is: (D) video 
The correct response is: (D) video 
The correct response is: (D) video 
The correct response is: (D)"
166,166,517,B,"He kept plugging away in his cubicle, it seemed he was the only person not called into the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['building', 'conference', 'assessment', 'demonstration', 'garage'],
      dtype=object)}",building,conference,assessment,demonstration,,"Question: He kept plugging away in his cubicle, it seemed he was the only person not called into the what? (A) building (B) conference (C) assessment (D) demonstration. 
The correct response is: "," (D) demonstration  
The correct response is: (D) demonstration 
The correct response is: (D) demonstration 
The correct response is: (D) demonstration 
The correct response"
167,167,1022,A,What is unlikely to get bugs on its windshield due to bugs' inability to reach it when it is moving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['airplane', 'scooter', 'motorboat', 'car', 'motor vehicle'],
      dtype=object)}",airplane,scooter,motorboat,car,,"Question: What is unlikely to get bugs on its windshield due to bugs' inability to reach it when it is moving? (A) airplane (B) scooter (C) motorboat (D) car. 
The correct response is: "," (A) airplane  
The reason is: because it is in the air 
The correct response is:  (D) car 
The reason is: because it is on the ground"
168,168,92,D,"Anybody could be hired in the kitchen, what was needed of them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forget', 'oil squeaky hinge', 'question authority', 'wash dishes',
       'oik squeaky hinge'], dtype=object)}",forget,oil squeaky hinge,question authority,wash dishes,,"Question: Anybody could be hired in the kitchen, what was needed of them? (A) forget (B) oil squeaky hinge (C) question authority (D) wash dishes. 
The correct response is: ","2) oil squeaky hinge  
The kitchen staff needs the ability to oil squeaky hinges 
The kitchen staff needs the ability to forget 
The kitchen staff needs the ability to"
169,169,164,C,Where would someone purchase an upright piano?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music class', 'college', 'music store', 'music room',
       'music band'], dtype=object)}",music class,college,music store,music room,,"Question: Where would someone purchase an upright piano? (A) music class (B) college (C) music store (D) music room. 
The correct response is: "," (C) music store 
The piano is a musical instrument that needs to be tuned and requires a lot of space, so it is unlikely that someone would purchase one in a class or a room. 
The correct response is:  (C) music store 
The incorrect"
170,170,918,A,A town between two mountains is located in a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['valley', 'hospital', 'state', 'train station', 'michigan'],
      dtype=object)}",valley,hospital,state,train station,,"Question: A town between two mountains is located in a what? (A) valley (B) hospital (C) state (D) train station. 
The correct response is: "," (A) valley  
The valley is formed by the mountains and is a low area between two higher areas 
The valley is located between two mountains is located in a what?  (A) valley (B) ocean (C) city (D) low area. 
The"
171,171,537,A,"The audience listened to the orchestra play, where were they watching the performance?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['concert hall', 'museum', 'school', 'hockey game',
       'sporting event'], dtype=object)}",concert hall,museum,school,hockey game,,"Question: The audience listened to the orchestra play, where were they watching the performance? (A) concert hall (B) museum (C) school (D) hockey game. 
The correct response is: "," (A) concert hall  
The orchestra is performing live, so it is unlikely that the audience is watching in a hockey rink. The correct response is: (A) concert hall 
The orchestra is performing live, so it is unlikely that"
172,172,914,D,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['swimming pool', ""rich person's house"", 'country club',
       'fitness center', 'park'], dtype=object)}",swimming pool,rich person's house,country club,fitness center,,"Question: Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what? (A) swimming pool (B) rich person's house (C) country club (D) fitness center. 
The correct response is: "," (D) fitness center  
The warm up he did before lifting weights was likely a cardio activity, such as a squash game, so the correct response is: ("
173,173,326,A,What room would you find many bookcases and is used for contemplation?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['study', 'house', 'homw', 'kitchen', 'den'], dtype=object)}",study,house,homw,kitchen,,"Question: What room would you find many bookcases and is used for contemplation? (A) study (B) house (C) homw (D) kitchen. 
The correct response is: "," (A) study 
The study is a room where many bookcases are found and is typically used for contemplation and learning "
